group,total,BANK_DATE
FIXED DEPOSIT   ,41950822692,9/16/2018
MARGIN DEPOSIT ,484946303.7,9/16/2018
SAVING DEPOSIT,21865082170,9/16/2018
BLB DEPOSIT,49095679.86,9/17/2018
CALL DEPOSIT,7641424242,9/17/2018
CURRENT,2367436427,9/17/2018
FIXED DEPOSIT   ,41183720392,9/17/2018
MARGIN DEPOSIT ,468543264.4,9/17/2018
SAVING DEPOSIT,21926706181,9/17/2018
BLB DEPOSIT,47669417.86,9/18/2018
CALL DEPOSIT,7318381079,9/18/2018
CURRENT,2429386930,9/18/2018
FIXED DEPOSIT,40756043692,9/18/2018
MARGIN DEPOSIT ,467260567.4,9/18/2018
SAVING DEPOSIT,21928922686,9/18/2018
BLB DEPOSIT,47475607.86,9/19/2018
CALL DEPOSIT,7442516702,9/19/2018
CURRENT,2297436067,9/19/2018
FIXED DEPOSIT   ,40697987535,9/19/2018
MARGIN DEPOSIT ,467212567.4,9/19/2018
SAVING DEPOSIT,21954337391,9/19/2018
BLB DEPOSIT,46974327.86,9/20/2018
CALL DEPOSIT,7495606609,9/20/2018
CURRENT,2292385221,9/20/2018
FIXED DEPOSIT   ,40704616135,9/20/2018
MARGIN DEPOSIT ,430722056.5,9/20/2018
SAVING DEPOSIT,21980061076,9/20/2018
BLB DEPOSIT,47443641.23,9/21/2018
CALL DEPOSIT,7556977634,9/21/2018
CURRENT,2153409959,9/21/2018
FIXED DEPOSIT   ,40708368135,9/21/2018
MARGIN DEPOSIT ,420041748.1,9/21/2018
SAVING DEPOSIT,21949231081,9/21/2018
BLB DEPOSIT,53485203.69,9/22/2018
CALL DEPOSIT,7567208993,9/22/2018
CURRENT,2203384170,9/22/2018
FIXED DEPOSIT   ,40591140135,9/22/2018
MARGIN DEPOSIT ,414342005.1,9/22/2018
SAVING DEPOSIT,21988832645,9/22/2018
BLB DEPOSIT,52227739.35,9/23/2018
CALL DEPOSIT,7597219920,9/23/2018
CURRENT,2314023501,9/23/2018
FIXED DEPOSIT,40880763135,9/23/2018
MARGIN DEPOSIT ,429608734.9,9/23/2018
SAVING DEPOSIT,21980359133,9/23/2018
BLB DEPOSIT,52191078.6,9/24/2018
CALL DEPOSIT,7719782215,9/24/2018
CURRENT,2322842835,9/24/2018
FIXED DEPOSIT   ,40656954635,9/24/2018
MARGIN DEPOSIT ,451285755.9,9/24/2018
SAVING DEPOSIT,21969571444,9/24/2018
BLB DEPOSIT,46674953.93,9/25/2018
CALL DEPOSIT,7835562991,9/25/2018
CURRENT,2379054684,9/25/2018
FIXED DEPOSIT   ,40745005885,9/25/2018
MARGIN DEPOSIT ,450506673.6,9/25/2018
SAVING DEPOSIT,22279402831,9/25/2018
BLB DEPOSIT,46906969.93,9/26/2018
CALL DEPOSIT,7753913109,9/26/2018
CURRENT,2369675827,9/26/2018
FIXED DEPOSIT   ,40481206775,9/26/2018
MARGIN DEPOSIT ,456586723.6,9/26/2018
SAVING DEPOSIT,22272367588,9/26/2018
BLB DEPOSIT,46472543.18,9/27/2018
CALL DEPOSIT,7682487370,9/27/2018
CURRENT,2476911003,9/27/2018
FIXED DEPOSIT   ,40537430375,9/27/2018
MARGIN DEPOSIT ,457362987.2,9/27/2018
SAVING DEPOSIT,22337820690,9/27/2018
BLB DEPOSIT,46243627.8,9/28/2018
CALL DEPOSIT,7659420266,9/28/2018
CURRENT,2408091981,9/28/2018
FIXED DEPOSIT,40553486275,9/28/2018
MARGIN DEPOSIT ,469686332.6,9/28/2018
SAVING DEPOSIT,22316229029,9/28/2018
BLB DEPOSIT,46191332.3,9/29/2018
CALL DEPOSIT,7660595837,9/29/2018
CURRENT,2408151073,9/29/2018
FIXED DEPOSIT   ,40502316275,9/29/2018
MARGIN DEPOSIT ,469681332.6,9/29/2018
SAVING DEPOSIT,22341803860,9/29/2018
BLB DEPOSIT,46625337.55,9/30/2018
CALL DEPOSIT,7670098347,9/30/2018
CURRENT,2474077235,9/30/2018
FIXED DEPOSIT   ,40392336275,9/30/2018
MARGIN DEPOSIT ,547818887.2,9/30/2018
SAVING DEPOSIT,22381700349,9/30/2018
BLB DEPOSIT,46833841.09,10/1/2018
CALL DEPOSIT,8260959632,10/1/2018
CURRENT,2545753088,10/1/2018
FIXED DEPOSIT   ,40415482775,10/1/2018
MARGIN DEPOSIT ,467478836.4,10/1/2018
SAVING DEPOSIT,22429327090,10/1/2018
BLB DEPOSIT,47457559.79,10/2/2018
CALL DEPOSIT,8095985102,10/2/2018
CURRENT,2412906419,10/2/2018
FIXED DEPOSIT   ,40360081975,10/2/2018
MARGIN DEPOSIT ,482199068.5,10/2/2018
SAVING DEPOSIT,22541302423,10/2/2018
BLB DEPOSIT,47994740.07,10/3/2018
CALL DEPOSIT,7994829776,10/3/2018
CURRENT,2363520167,10/3/2018
FIXED DEPOSIT   ,40314067175,10/3/2018
MARGIN DEPOSIT ,491257422.6,10/3/2018
SAVING DEPOSIT,22655769515,10/3/2018
BLB DEPOSIT,47745346.07,10/4/2018
CALL DEPOSIT,7583550356,10/4/2018
CURRENT,2358542717,10/4/2018
FIXED DEPOSIT   ,40284121175,10/4/2018
MARGIN DEPOSIT ,441359152,10/4/2018
SAVING DEPOSIT,22798495534,10/4/2018
BLB DEPOSIT,47750328.62,10/5/2018
CALL DEPOSIT,7740016525,10/5/2018
CURRENT,2395222567,10/5/2018
FIXED DEPOSIT   ,40612125089,10/5/2018
MARGIN DEPOSIT ,456930443.6,10/5/2018
SAVING DEPOSIT,22806263702,10/5/2018
BLB DEPOSIT,47709758.62,10/6/2018
CALL DEPOSIT,7742345727,10/6/2018
CURRENT,2406216353,10/6/2018
FIXED DEPOSIT   ,40535087089,10/6/2018
MARGIN DEPOSIT ,456911443.6,10/6/2018
SAVING DEPOSIT,22853186029,10/6/2018
BLB DEPOSIT,47469946.15,10/7/2018
CALL DEPOSIT,7937667126,10/7/2018
CURRENT,2497384544,10/7/2018
FIXED DEPOSIT   ,40604610339,10/7/2018
MARGIN DEPOSIT ,441059636.7,10/7/2018
SAVING DEPOSIT,22856921004,10/7/2018
BLB DEPOSIT,48074227.51,10/8/2018
CALL DEPOSIT,8055383662,10/8/2018
CURRENT,2522782115,10/8/2018
FIXED DEPOSIT   ,40590825895,10/8/2018
MARGIN DEPOSIT ,442618525.6,10/8/2018
SAVING DEPOSIT,23089587419,10/8/2018
BLB DEPOSIT,47857838.78,10/9/2018
CALL DEPOSIT,8084419859,10/9/2018
CURRENT,2563144552,10/9/2018
FIXED DEPOSIT   ,40658051531,10/9/2018
MARGIN DEPOSIT ,447822706.7,10/9/2018
SAVING DEPOSIT,23327945829,10/9/2018
BLB DEPOSIT,48576176.29,10/10/2018
CALL DEPOSIT,8325257609,10/10/2018
CURRENT,2441834102,10/10/2018
FIXED DEPOSIT   ,41182351694,10/10/2018
MARGIN DEPOSIT ,443563470.7,10/10/2018
SAVING DEPOSIT,23407610900,10/10/2018
BLB DEPOSIT,47693935.29,10/11/2018
CALL DEPOSIT,8503649357,10/11/2018
CURRENT,2389445251,10/11/2018
FIXED DEPOSIT   ,41402722090,10/11/2018
MARGIN DEPOSIT ,452095765.4,10/11/2018
SAVING DEPOSIT,23413729537,10/11/2018
BLB DEPOSIT,49434698.78,10/12/2018
CALL DEPOSIT,8776407657,10/12/2018
CURRENT,2624188541,10/12/2018
FIXED DEPOSIT   ,40878815310,10/12/2018
MARGIN DEPOSIT ,462037777.4,10/12/2018
SAVING DEPOSIT,23400792475,10/12/2018
BLB DEPOSIT,50795947,10/13/2018
CALL DEPOSIT,8759105871,10/13/2018
CURRENT,2574443583,10/13/2018
FIXED DEPOSIT   ,40811621310,10/13/2018
MARGIN DEPOSIT ,454676522.4,10/13/2018
SAVING DEPOSIT,23399388098,10/13/2018
BLB DEPOSIT,50797832,10/14/2018
CALL DEPOSIT,8732328882,10/14/2018
CURRENT,2495793286,10/14/2018
FIXED DEPOSIT,41123278310,10/14/2018
MARGIN DEPOSIT ,453153496.8,10/14/2018
SAVING DEPOSIT,23427063745,10/14/2018
BLB DEPOSIT,50091090,10/15/2018
CALL DEPOSIT,8679235278,10/15/2018
CURRENT,2414189556,10/15/2018
FIXED DEPOSIT   ,41203033577,10/15/2018
MARGIN DEPOSIT ,458800541.8,10/15/2018
SAVING DEPOSIT,23263222419,10/15/2018
BLB DEPOSIT,50160131.1,10/16/2018
CALL DEPOSIT,8788529260,10/16/2018
CURRENT,2398670207,10/16/2018
FIXED DEPOSIT   ,41040583677,10/16/2018
MARGIN DEPOSIT ,458784541.8,10/16/2018
SAVING DEPOSIT,23304352815,10/16/2018
BLB DEPOSIT,50610110.49,10/17/2018
CALL DEPOSIT,9117878929,10/17/2018
CURRENT,2173969829,10/17/2018
FIXED DEPOSIT   ,40653710677,10/17/2018
MARGIN DEPOSIT ,458784541.8,10/17/2018
SAVING DEPOSIT,23644453088,10/17/2018
BLB DEPOSIT,50568089.2,10/18/2018
CALL DEPOSIT,9336316621,10/18/2018
CURRENT,2194119099,10/18/2018
FIXED DEPOSIT   ,40013820177,10/18/2018
MARGIN DEPOSIT ,458783249.7,10/18/2018
SAVING DEPOSIT,23720991791,10/18/2018
BLB DEPOSIT,50618466.33,10/19/2018
CALL DEPOSIT,9338284854,10/19/2018
CURRENT,2194171562,10/19/2018
FIXED DEPOSIT,39940506177,10/19/2018
MARGIN DEPOSIT ,458783249.7,10/19/2018
SAVING DEPOSIT,23792539807,10/19/2018
BLB DEPOSIT,50644796.33,10/20/2018
CALL DEPOSIT,9338411137,10/20/2018
CURRENT,2188232516,10/20/2018
FIXED DEPOSIT   ,39896272177,10/20/2018
MARGIN DEPOSIT ,458733249.7,10/20/2018
SAVING DEPOSIT,23828489814,10/20/2018
BLB DEPOSIT,50762048.33,10/21/2018
CALL DEPOSIT,9033472518,10/21/2018
CURRENT,2202210210,10/21/2018
FIXED DEPOSIT   ,39871501177,10/21/2018
MARGIN DEPOSIT ,459850026.5,10/21/2018
SAVING DEPOSIT,23862337447,10/21/2018
BLB DEPOSIT,50756492.31,10/22/2018
CALL DEPOSIT,9097106041,10/22/2018
CURRENT,2147108522,10/22/2018
FIXED DEPOSIT   ,39910315677,10/22/2018
MARGIN DEPOSIT ,442972049.1,10/22/2018
SAVING DEPOSIT,23908639287,10/22/2018
