categ_name,ac_group,ccy,group,TOTAL_AMOUNT,BANK_DATE,INT_RATE
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4957639175,9/29/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,5212004546,10/22/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,2131081275,9/9/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,3668158289,10/10/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,15232369.46,10/5/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4450335705,9/11/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,19215549.61,9/16/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,513815.83,8/30/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,17609881.09,10/11/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,476196.25,9/28/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,2129043348,9/8/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,19393745.44,9/6/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,513672.25,9/15/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,3761987972,10/17/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,2813676157,9/18/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,16136764.4,9/22/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,5338273970,10/17/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4798250111,9/24/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,2941947836,9/21/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,23278.25,10/11/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,16150082.52,9/25/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,184172.25,9/11/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,2785298505,9/17/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,27820252.52,8/27/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,18053534.84,9/12/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,2613158474,9/14/2018,0
